agency_name,city,state,agency_type,agency_latitude,agency_longitude,ft_sworn,agency_population,validated_week_name,record_month,validated_day,record_year
Menifee Police Department,Menifee,AR,Local Police Department,35.146515,-92.54696,1,1,Wednesday,May,16,2018
Stuttgart Police Department,Stuttgart,AR,Local Police Department,34.49785,-91.553055,17,25,Wednesday,May,16,2018
Crawford County Sheriffs Office,Van Buren,AR,Sheriff'S Office,35.434586,-94.35608,27,60,Wednesday,May,16,2018
Pope County Sheriffs Office,Russellville,AR,Sheriff'S Office,35.280006,-93.10853,31,88,Wednesday,May,16,2018
Mcgehee Police Department,Mcgehee,AR,Local Police Department,33.62986,-91.38269,9,26,Wednesday,May,16,2018
Sherwood Police Department,Sherwood,AR,Local Police Department,34.83339,-92.20853,64,89,Wednesday,May,16,2018
Murfreesboro Police Department,Murfreesboro,AR,Local Police Department,34.061867,-93.68883,3,3,Wednesday,May,16,2018
Diaz Police Department,Newport,AR,Local Police Department,35.637695,-91.265495,2,2,Wednesday,May,16,2018
Arkansas Tech University Department Of Public Safety,Russellville,AR,Special Jurisdiction,35.29367,-93.13408,9,11,Thursday,May,17,2018
Homestead Police Department,Homestead,FL,Local Police Department,25.469553,-80.47765,106,153,Tuesday,May,22,2018
Sarasota North County Sheriffs Department / Sarasota North County Jail,Sarasota,FL,Sheriff'S Office,27.33617,-82.52965,409,923,Wednesday,May,23,2018
Florida International University Police Department - Modesto Maidique Campus,Miami,FL,Special Jurisdiction,25.760227,-80.37168,39,58,Wednesday,May,30,2018
Carbondale Police Department,Carbondale,CO,Local Police Department,39.40205,-107.21172,14,17,Wednesday,May,23,2018
Florence Police Department,Florence,CO,Local Police Department,38.39434,-105.12336,8,19,Wednesday,May,23,2018
Ignacio Police Department,Ignacio,CO,Local Police Department,37.115627,-107.63287,6,7,Wednesday,May,23,2018
Rangely Police Department,Rangely,CO,Local Police Department,40.08706,-108.80286,4,9,Wednesday,May,23,2018
Rio Blanco County Sheriffs Office / Rio Blanco County Jail,Meeker,CO,Sheriff'S Office,40.038025,-107.91318,15,28,Friday,May,25,2018
